Result,FOS,CHRNA4,about_cluster,Values
Regulation,Up,Up,M:F cluster 1,2.32432432432432
T test,0.00152438417724673,0.00701611246877112,M:F cluster 2,2.03703703703704
Mean of cluster 1,90.7785040650407,9.03932520325203,size cluster 1,123
Mean of cluster 2,47.9029634146341,7.60257317073171,size of cluster 2,82
Wilcox test,0.000718127220969472,0.0011047045697109,Cluster size ratio,1.5
F test,5.10702591327572e-15,0.0601688516382745,"",
