Result,DDN,SIRT1,FOS,BDNF,CRH,about_cluster,Values
Regulation,UP,DOWN,UP,UP,UP,M:F cluster 1,2.1304347826087
T test,0.0603265496489752,3.75611464803219e-09,0.873057147546336,0.282507730176364,0.0947345055506587,M:F cluster 2,3.12
Mean of cluster 1,242.313472222222,8.35975,60.7376805555556,2.44369722222222,12.3678555555556,size cluster 1,72
Mean of cluster 2,277.931165048544,5.94670873786408,58.9126893203884,2.17168932038835,15.3740048543689,size of cluster 2,103
Wilcox test,0.0975061079155352,2.34005053888559e-10,0.537207168129663,0.193848922688158,0.151513479044232,Cluster size ratio,0.699029126213592
F test,0.325883793584002,4.14457280939473e-07,0.459645748995576,0.9379947320624,0.22567469681541,"",
