Result,CREB1,FOSB,TNF,about_cluster,Values
Regulation,Up,Up,Up,M:F cluster 1,2.41935483870968
T test,0.148220970006557,0.748010810218014,0.188942139086012,M:F cluster 2,3
Mean of cluster 1,4.34437641509434,6.09239245283019,0.166583018867925,size cluster 1,106
Mean of cluster 2,4.75466354166667,6.54503958333333,0.222294791666667,size of cluster 2,96
Wilcox test,0.119471683341436,0.151207940637828,0.296862837835308,Cluster size ratio,1.10416666666667
F test,0.593510686208242,0.00442326462078602,4.36646374111507e-07,"",
