Result,FOS,CHRNA4,about_cluster,Values
Regulation,Up,Up,M:F cluster 1,2.35
T test,0.000253017519113216,0.719749756014741,M:F cluster 2,1.95833333333333
Mean of cluster 1,47.3905373134328,8.53673880597015,size cluster 1,134
Mean of cluster 2,123.147422535211,8.32852112676056,size of cluster 2,71
Wilcox test,2.92433437320789e-07,0.225331159095331,Cluster size ratio,1.88732394366197
F test,7.89220218599203e-30,0.00518833556442329,"",
