Result,FOS,CHRNA4,about_cluster,Values
Regulation,Up,Up,M:F cluster 1,2.22222222222222
T test,0.509229950957556,0.360371115593274,M:F cluster 2,2.18918918918919
Mean of cluster 1,79.9767471264368,8.20372413793103,size cluster 1,87
Mean of cluster 2,68.9476440677966,8.65698305084746,size of cluster 2,118
Wilcox test,0.589513497438036,0.476314174009602,Cluster size ratio,0.73728813559322
F test,2.26051359852875e-07,0.0341515704266126,"",
